avg_voltage,avg_temperature,battery_life_months,cycle_count,label
3.933,23.28,17.2,422,1
3.337,41.35,49.8,1047,0
3.551,35.35,29.4,575,1
4.009,26.79,4.3,143,1
3.256,33.52,47.3,993,0
3.383,36.36,32.2,665,0
3.839,26.09,8.8,145,1
3.396,39.23,46.6,1007,0
3.626,37.95,25.5,503,1
3.589,36.02,43.1,821,1
3.757,23.55,4.8,104,1
3.375,37.28,52.4,1063,0
3.765,25.11,10.7,198,1
3.521,33.54,28.6,579,1
3.698,27.47,22.3,391,1
3.708,30.51,25.5,554,1
3.593,34.13,51.8,1039,0
3.719,30.58,24.3,478,1
3.187,37.07,45.4,923,0
3.686,22.2,15.3,420,1
3.826,27.74,7.5,157,1
3.719,31.74,29.3,550,1
3.358,36.72,57.6,1121,0
3.515,43.85,51.8,1021,0
3.441,40.34,47.7,997,0
3.58,33.6,48.3,951,0
3.712,31.13,13.3,289,1
3.816,31.18,10.5,196,1
3.684,32.87,30.1,598,1
3.584,32.55,23.9,517,1
3.388,36.83,41.5,865,0
3.266,33.02,57.8,1142,0
3.422,34.51,39.9,806,1
3.361,39.07,57.5,1183,0
3.309,39.48,38.9,815,0
3.63,28.85,10.8,228,1
3.978,26.81,13.9,216,1
3.353,36.58,46.3,948,0
3.913,28.26,1.0,15,1
3.161,39.21,59.3,1181,0
3.319,37.67,56.8,1181,0
3.805,24.76,1.0,47,1
3.582,31.87,14.1,324,1
3.612,37.04,42.7,844,1
3.953,26.76,6.7,130,1
3.842,26.76,6.2,95,1
3.686,31.16,31.5,627,1
3.713,33.86,37.5,755,1
3.578,32.94,38.5,794,1
3.913,24.98,5.2,69,1
3.914,29.18,1.0,11,1
3.529,32.67,41.4,872,1
3.589,29.81,28.6,550,1
3.293,35.71,55.2,1158,0
3.589,29.49,40.4,712,1
3.841,24.73,1.3,23,1
3.456,33.33,41.4,815,0
3.727,34.61,15.7,346,1
3.864,27.93,14.5,302,1
3.605,33.41,17.3,363,1
3.778,32.85,18.7,396,1
3.87,27.1,12.2,218,1
3.908,33.09,6.2,141,1
3.34,37.78,49.9,958,0
3.238,41.85,54.6,985,0
3.459,41.6,49.1,993,0
3.505,36.59,41.7,828,0
3.659,35.79,34.9,683,1
3.328,39.42,53.8,1004,0
3.798,26.02,17.6,356,1
3.501,37.77,48.7,1008,0
3.312,42.69,55.3,1157,0
3.498,40.68,44.3,888,0
3.875,24.43,5.5,127,1
3.253,40.71,60.5,1130,0
3.449,38.07,54.0,1009,0
3.76,32.2,28.1,604,1
3.395,38.74,49.3,1014,0
3.728,26.29,2.7,51,1
3.305,39.79,55.4,1053,0
3.333,39.06,39.1,779,0
3.622,37.53,39.4,814,1
3.766,31.18,20.9,420,1
3.358,42.88,47.9,983,0
3.346,38.64,42.5,825,0
3.304,37.54,49.8,1025,0
3.553,28.44,27.3,567,1
3.725,26.67,20.9,371,1
3.44,39.5,45.3,936,0
3.704,31.37,30.2,661,1
3.346,34.09,48.6,969,0
3.169,37.24,57.3,1161,0
3.683,25.46,11.1,202,1
3.741,31.46,16.3,313,1
3.769,25.99,5.8,117,1
3.402,32.6,46.7,937,0
3.567,32.28,27.3,575,1
3.877,28.72,12.4,244,1
3.573,30.27,28.6,537,1
3.825,29.41,1.8,75,1
3.779,28.56,19.3,386,1
3.606,34.26,25.8,475,1
3.733,32.02,21.9,418,1
3.76,32.12,20.0,347,1
3.594,29.7,30.9,640,1
3.317,37.03,43.3,939,0
3.545,36.78,48.2,955,1
3.684,31.68,44.5,876,1
3.519,37.85,40.9,763,0
3.463,30.85,35.6,664,1
3.89,23.48,2.3,25,1
3.644,30.84,37.0,710,1
3.246,41.92,58.9,1185,0
3.799,22.63,6.4,177,1
3.792,30.42,14.5,285,1
3.989,28.92,5.1,63,1
3.476,39.15,51.5,1003,0
3.651,35.41,34.8,662,1
3.524,35.6,32.4,666,1
3.862,24.1,7.3,156,1
3.291,42.72,54.6,1073,0
3.501,35.71,47.3,967,0
3.591,35.41,41.4,849,1
3.401,37.85,56.0,1108,0
3.519,35.09,36.0,689,0
3.806,25.24,7.0,148,1
3.91,29.48,14.8,342,1
3.627,27.24,22.3,476,1
3.461,42.08,54.8,1087,0
3.653,34.02,28.4,561,1
3.703,28.21,16.8,327,1
3.183,38.16,59.3,1165,0
3.426,39.31,49.5,990,0
3.802,25.57,11.3,215,1
3.863,30.81,21.7,435,1
3.338,40.38,49.9,952,0
3.768,31.6,39.0,723,1
3.922,26.51,1.0,32,1
3.603,34.32,33.0,670,1
